GeneENSG	AOCS_001	AOCS_004	AOCS_005	AOCS_034	AOCS_055	AOCS_056	AOCS_057	AOCS_058	AOCS_059	AOCS_060
ENSG00000000003	12.5058533098788	11.9529577637418	13.58724744576	14.4723804171644	14.1341575476026	12.3238076038039	12.5667384860094	13.7878211721848	12.5498052055706	13.9136795501178
ENSG00000000005	6.41561691626983	4.43069118765777	4.38828047634714	6.47126245631858	5.61310475570508	4.20983551068029	5.54952358805411	7.14429870003454	4.38590823272945	5.09749749477472
ENSG00000000419	13.2816725905643	12.3558383869616	12.9440720787857	13.1171087234878	13.7703375266	11.1780454064	12.4164120700902	11.8984567492973	13.2919588431727	12.7340533300573
ENSG00000000457	11.5437903063989	11.5515576395347	11.9305923617928	11.2380020501006	11.2621266172905	9.35589344807448	10.9013173187833	9.75567418405835	11.6989295973309	11.6168006658309
ENSG00000000460	11.4611248175961	11.9824751645445	10.3037327503912	10.7974532981386	11.8898821443886	9.66289022700683	10.4468005469516	10.0480184835788	10.9783314048031	11.3634222920836
ENSG00000000938	9.83828715172365	10.1379855664848	8.93967436807304	9.3191069488106	7.75654629321254	8.64214258842314	10.3648621460309	6.45908959957143	8.2030849348321	9.22397022498634
ENSG00000000971	13.2889338177589	14.147792418354	11.0203389678405	11.0784648939541	12.0698050105412	13.4260703924377	14.4415287511454	12.0389390298502	13.3177408624786	12.5319049235685
ENSG00000001036	11.8612419597589	12.524977323166	12.4679051913185	13.0067849910417	13.2403323702695	12.7143461707222	11.9351407109681	12.6177474643203	12.3833334248396	12.4825430516487
ENSG00000001084	12.3285515779581	11.3560509571433	11.8536674918119	12.0740412758394	11.7959228009672	10.6287711291897	11.6567978512272	9.37624787720677	11.3625742891422	11.1385838173979
ENSG00000001167	12.5409295103199	12.1972595794994	12.0385061297076	11.8923574756916	12.554495917402	10.4793048882285	11.592961406351	10.4225439992364	12.0981479320424	12.8309080049708
ENSG00000001460	10.0040307276749	10.7070774724639	11.0328693996504	10.6752600801524	9.55547990833331	9.72300912722529	10.2143563848633	10.6064387885435	10.5193018103799	9.70006853203711
